Movie_Title,Release_Year,Rating,Movie_URL
51st State,2001,3 Stars,../filmdata/1_films/51st_state.htm
Artificial Intelligence:AI,2001,3 Stars,../filmdata/a_films/artificial-intelligence.htm
Along Came A Spider,2001,3 Stars,../filmdata/a_films/along-came-a-spider.html
America's Sweethearts,2001,3 Stars,../filmdata/a_films/americas_sweethearts.htm
Antitrust,2001,3 Stars,../filmdata/a_films/antitrust.htm
Bandits,2001,3 Stars,../filmdata/b_films/bandits.html
"Beautiful
    Mind",2001,3 Stars,../filmdata/b_films/beautiful_mind.htm
"Beethoven's
    4th",2001,3 Stars,../filmdata/b_films/beethovens_4th.htm
"Behind
    Enemy Lines",2001,3 Stars,../filmdata/b_films/behind-enemy-lines.htm
Beneath Loch Ness,2001,3 Stars,../filmdata/b_films/beneath_loch_ness.html
"Black
    Knight",2001,3 Stars,../filmdata/b_films/black_knight.htm
Blow Dry,2001,3 Stars,../filmdata/b_films/blow_dry.htm
Body,2001,3 Stars,../filmdata/b_films/body.htm
"Bridget
    Jones Diary",2001,3 Stars,../filmdata/b_films/bridget_jones_diary.htm
"Captain
    Corelli's Mandolin",2001,3 Stars,../filmdata/c_films/captain_corellis_mandolin.htm
Cats And Dogs,2001,3 Stars,../filmdata/c_films/cats_and_dogs.htm
"Charlotte
    Gray",2001,3 Stars,../filmdata/c_films/charlotte_gray.htm
"Christmas
    Carol",2001,3 Stars,../filmdata/c_films/christmas_carol.htm
Christmas In The Clouds,2001,3 Stars,../filmdata/c_films/christmas_in_the_clouds.html
"Crocodile
    Dundee in LA",2001,3 Stars,../filmdata/c_films/crocodile_dundee_in_la.htm
Curse Of The Jade Scorpion,2001,3 Stars,../filmdata/c_films/curse_of_the_jade_scorpion.html
"Doctor
    Dolittle 2",2001,3 Stars,../filmdata/d_films/doctor_dolittle_2.htm
Donnie Darko,2001,3 Stars,../filmdata/d_films/donnie_darko.html
Driven,2001,3 Stars,../filmdata/d_films/driven.htm
